scenario,reconstruction_scenario,internal_mode,path_edge_order,edge_id,sheet,edge_type,node_u,node_v,row_u,row_v,electrode,particle_u,particle_v,particle_id,component_status,gap_lower_nm,gap_upper_nm,gap_estimate_nm,classification,threshold_relation,method,capsule_lower_bound_nm,gjk_iterations,gjk_converged,slsqp_check_gap_nm,slsqp_abs_difference_nm,slsqp_same_threshold_class,crossing_axes,shift_x,shift_y,shift_z,mapped_endpoint_residual_nm,enabled
A_row_literal,row_literal,disconnected_fragments,1,组2:ELECTRODE:LEFT:r13,组2,electrode_contact,LEFT,r13,,13,left,LEFT,组2_row_literal_P0011,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,2,组2:PAIR:r13:r14,组2,cylinder_contact,r13,r14,13,14,,组2_row_literal_P0011,组2_row_literal_P0012,,,0.0,1.985972445629906e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.2789769243681803e-12,1.2789769243681803e-12,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,3,组2:PAIR:r14:r26,组2,cylinder_contact,r14,r26,14,26,,组2_row_literal_P0012,组2_row_literal_P0024,,,0.0,1.4410931306146347e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,5.123796534383003e-14,5.123796534383003e-14,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,4,组2:PAIR:r26:r41,组2,cylinder_contact,r26,r41,26,41,,组2_row_literal_P0024,组2_row_literal_P0039,,,0.0,1.9722499377516499e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0064104835181445e-11,1.0064104835181445e-11,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,5,组2:ELECTRODE:RIGHT:r41,组2,electrode_contact,r41,RIGHT,41,,right,组2_row_literal_P0039,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,1,组3:ELECTRODE:LEFT:r65,组3,electrode_contact,LEFT,r65,,65,left,LEFT,组3_row_literal_P0063,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,2,组3:PAIR:r65:r266,组3,cylinder_contact,r65,r266,65,266,,组3_row_literal_P0063,组3_row_literal_P0264,,,0.0,2.5748551376950306e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,6.302189627392726e-12,6.302189627392726e-12,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,3,组3:PAIR:r218:r266,组3,cylinder_contact,r218,r266,218,266,,组3_row_literal_P0216,组3_row_literal_P0264,,,0.0,1.685150038897927e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.7053025658242404e-13,1.7053025658242404e-13,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,4,组3:PAIR:r218:r353,组3,cylinder_contact,r218,r353,218,353,,组3_row_literal_P0216,组3_row_literal_P0351,,,0.0,2.3341933865593414e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.151126638648695e-12,4.151126638648695e-12,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,5,组3:ELECTRODE:RIGHT:r353,组3,electrode_contact,r353,RIGHT,353,,right,组3_row_literal_P0351,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,connected_same_particle,1,组2:ELECTRODE:LEFT:r13,组2,electrode_contact,LEFT,r13,,13,left,LEFT,组2_row_literal_P0011,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,connected_same_particle,2,组2:PAIR:r13:r14,组2,cylinder_contact,r13,r14,13,14,,组2_row_literal_P0011,组2_row_literal_P0012,,,0.0,1.985972445629906e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.2789769243681803e-12,1.2789769243681803e-12,True,,,,,,
A_row_literal,row_literal,connected_same_particle,3,组2:PAIR:r14:r26,组2,cylinder_contact,r14,r26,14,26,,组2_row_literal_P0012,组2_row_literal_P0024,,,0.0,1.4410931306146347e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,5.123796534383003e-14,5.123796534383003e-14,True,,,,,,
A_row_literal,row_literal,connected_same_particle,4,组2:PAIR:r26:r41,组2,cylinder_contact,r26,r41,26,41,,组2_row_literal_P0024,组2_row_literal_P0039,,,0.0,1.9722499377516499e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,1.0064104835181445e-11,1.0064104835181445e-11,True,,,,,,
A_row_literal,row_literal,connected_same_particle,5,组2:ELECTRODE:RIGHT:r41,组2,electrode_contact,r41,RIGHT,41,,right,组2_row_literal_P0039,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,connected_same_particle,1,组3:ELECTRODE:LEFT:r65,组3,electrode_contact,LEFT,r65,,65,left,LEFT,组3_row_literal_P0063,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,connected_same_particle,2,组3:PAIR:r65:r266,组3,cylinder_contact,r65,r266,65,266,,组3_row_literal_P0063,组3_row_literal_P0264,,,0.0,2.5748551376950306e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,6.302189627392726e-12,6.302189627392726e-12,True,,,,,,
A_row_literal,row_literal,connected_same_particle,3,组3:PAIR:r218:r266,组3,cylinder_contact,r218,r266,218,266,,组3_row_literal_P0216,组3_row_literal_P0264,,,0.0,1.685150038897927e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,1.7053025658242404e-13,1.7053025658242404e-13,True,,,,,,
A_row_literal,row_literal,connected_same_particle,4,组3:PAIR:r218:r353,组3,cylinder_contact,r218,r353,218,353,,组3_row_literal_P0216,组3_row_literal_P0351,,,0.0,2.3341933865593414e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.151126638648695e-12,4.151126638648695e-12,True,,,,,,
A_row_literal,row_literal,connected_same_particle,5,组3:ELECTRODE:RIGHT:r353,组3,electrode_contact,r353,RIGHT,353,,right,组3_row_literal_P0351,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,1,组2:ELECTRODE:LEFT:r13,组2,electrode_contact,LEFT,r13,,13,left,LEFT,组2_full_cube_periodic_P0011,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
