source_relative_to_workspace,package_relative_path,bytes,sha256,role,evidence_tier
40_candidate/gpt/strict_fragment_recompute_20260808/pooled_D_v230_150000_prefix.csv,01_Q3_主结果/pooled_D_v230_150000_prefix.csv,66397,CD38F28FDFCC11C64D65D5025D81EC44D40892382640DB2C8890113B5FE4DC1F,Q3 D-mode pooled prefix distribution,main
40_candidate/gpt/strict_fragment_recompute_20260808/pooled_D_v230_150000_summary.json,01_Q3_主结果/pooled_D_v230_150000_summary.json,2294,46087119971AB82CB073BD5AA0190FAD23891AAC3C2D1BCFF332789DDE449481,Q3 D-mode threshold summary,main
40_candidate/gpt/strict_fragment_recompute_20260808/runs_50000_v230/a_prefix_D_seed20260807_t50000.csv,01_Q3_主结果/per_seed/a_prefix_D_seed20260807_t50000.csv,50941,70A5E7BD1F57DAE3CFB87407DE771874A9DDF28B138FDB41F190F6D6BB48005E,Q3 D-mode per-seed prefix distribution,main
40_candidate/gpt/strict_fragment_recompute_20260808/runs_50000_v230/a_prefix_D_seed20260808_t50000.csv,01_Q3_主结果/per_seed/a_prefix_D_seed20260808_t50000.csv,50416,A6ABD23B638AD989694FFBCAC806FD5D028A7AF5E3749F1E5A5FD578D070893A,Q3 D-mode per-seed prefix distribution,main
40_candidate/gpt/strict_fragment_recompute_20260808/runs_50000_v230/a_prefix_D_seed51680001_t50000.csv,01_Q3_主结果/per_seed/a_prefix_D_seed51680001_t50000.csv,52524,070910A69F25033358FF46B1DFA2A782F876A9764359172D5B7AA2E6CCBBC159,Q3 D-mode per-seed prefix distribution,main
40_candidate/gpt/strict_fragment_recompute_20260808/pooled_S_v230_150000_prefix.csv,02_Q3_敏感性/pooled_S_v230_150000_prefix.csv,44424,9D738CA55E315BFD74E06257052887A372C58F01F517E3965AE41AE26B9A0482,Q3 S-mode pooled sensitivity,sensitivity
40_candidate/gpt/strict_fragment_recompute_20260808/pooled_S_v230_150000_summary.json,02_Q3_敏感性/pooled_S_v230_150000_summary.json,1889,CF0D265C99D1BC52C50E128DB55BCFE5720966E95B9496BA3D4F7D4923569356,Q3 S-mode threshold summary,sensitivity
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_low_candidates.csv,03_Q4_全过程数据/q4_v230_below_612A8B_low_candidates.csv,1258,0508EACEB3309C762D8154A7B1C8C42676D489A8362427DC6E93EF82A50AA1B0,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_low_t1000.csv,03_Q4_全过程数据/q4_v230_below_612A8B_low_t1000.csv,3545,EE3C002CB8CBCD21DBC9E72316501D1B529031A89A89C5EB2C5E282A0BE1A3EB,"Q4 search, local splitting, pooled or seed result",screening
40_candidate/gpt/strict_fragment_recompute_20260808/q4_v230_below_612A8B_low_t1000.stderr.log,03_Q4_全过程数据/q4_v230_below_612A8B_low_t1000.stderr.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"Q4 search, local splitting, pooled or seed result",screening
